judge_model,interpretations_model,methode,song,halluzination_score,tiefe_score,beste_interpretation
llama,deepseek,standard,Sea Song - Tears For Fears (1985),4.2,3.7,3
llama,deepseek,standard,Number One - Laid Back (2019),5.0,3.0,1
llama,deepseek,standard,Let's Get Together Soon - Dusty Springfield (1970),4.0,3.2,5
llama,openai,standard,Uns geht's gut - And One (1997),3.6,3.8,1
llama,deepseek,standard,You Are The Reason - Air Supply (2001),4.0,4.0,1
llama,openai,standard,You Belong To Me - Rick Astley (2005),3.2,4.0,1
llama,llama,standard,It’s Alright - The Osmonds (1973),4.0,3.6,1
llama,openai,standard,Peggy's Kitchen Wall - Bruce Cockburn (1984),3.6,4.0,1
llama,deepseek,standard,Drunk On Love - Basia (1994),3.2,2.4,5
llama,llama,standard,Eye Of The Storm - Pseudo Echo (1989),4.0,3.0,1
llama,deepseek,standard,Time Immemorial - Crowded House (1990),3.6,4.2,3
llama,openai,standard,Where Do We Go From Here - Charles & Eddie (1992),3.6,3.6,1
llama,deepseek,standard,Ein Festival der Liebe - Jürgen Marcus (1972),4.0,3.0,1
llama,deepseek,standard,Somewhere My Love - Roger Whittaker (1982),4.4,3.6,4
llama,deepseek,standard,Where Do We Go From Here - Charles & Eddie (1992),4.2,3.4,4
llama,llama,standard,Planetarium - Covenant (1997),3.4,3.4,1
llama,openai,standard,Skipping Like A Stone - The Chemical Brothers feat. Beck (2023),3.6,4.0,1
llama,openai,standard,Timeless - Drunken Tiger feat. BTS (2018),3.6,3.6,1
llama,openai,standard,"Reise, Reise - Rammstein (2004)",3.2,4.0,1
llama,openai,standard,Battles - In Flames (2016),3.6,3.6,1
llama,deepseek,standard,One Day Tomorrow - Edgar Winter (1975),4.2,2.6,4
llama,deepseek,standard,Best Night - Justice Crew (2012),4.0,4.0,5
llama,openai,standard,"My Life - Nat ""King"" Cole (1960)",3.6,4.0,1
llama,deepseek,standard,Fellow Hoodlums - Deacon Blue (1991),3.2,2.8,4
llama,deepseek,standard,Do You Remember - Jay Sean feat. Sean Paul & Lil Jon (2009),3.4,3.4,1
llama,deepseek,standard,Timeless - Drunken Tiger feat. BTS (2018),3.2,3.6,5
llama,deepseek,standard,'Til My Back Ain't Got No Bone - Tom Jones (2015),4.2,3.7,5
llama,deepseek,standard,Drinks & Clout - Fler feat. Bass Sultan Hengzt (2021),2.6,3.6,1
llama,llama,standard,Worth It All - Jay Sean (2013),4.0,3.0,1
llama,deepseek,standard,Ride It - Jay Sean (2007),3.8,2.8,1
llama,llama,standard,Fellow Hoodlums - Deacon Blue (1991),3.4,3.8,1
llama,openai,standard,Breaking My Heart - Richard Marx (2022),3.6,3.6,1
llama,llama,standard,Dance Dance Dance - Arabesque (1983),4.0,3.4,3
llama,deepseek,standard,Teach Me Tonight - Neil Diamond (1988),4.0,4.0,1
llama,deepseek,standard,"Reise, Reise - Rammstein (2004)",3.8,3.8,5
llama,deepseek,standard,Breaking My Heart - Richard Marx (2022),3.6,2.8,4
llama,llama,standard,I Cried for You - Ray Charles (1964),3.6,3.6,1
llama,llama,standard,Argue - Matchbox 20 (1996),4.0,3.0,1
llama,llama,standard,Leg die Knarre weg - Udo Jürgens (1958),3.8,3.2,5
llama,llama,standard,Without Love - Dina Carroll (1999),5.0,3.0,1
llama,openai,standard,Eye Of The Storm - Pseudo Echo (1989),3.6,3.6,1
llama,openai,standard,Without Love - Dina Carroll (1999),3.2,3.8,1
llama,deepseek,standard,Eye Of The Storm - Pseudo Echo (1989),3.6,3.6,1
llama,llama,standard,They Only Come Out At Night - Lordi (2006),3.4,3.4,1
llama,openai,standard,Everybody's Got Something To Hide Except Me And My Monkey - The Beatles (1968),3.6,4.0,1
llama,deepseek,standard,Easy (Switch Screens) - Son Lux feat. Lorde (2014),3.0,2.0,1
llama,llama,standard,I Know - Vanilla Ninja (2005),3.6,3.6,1
llama,deepseek,standard,"My Life - Nat ""King"" Cole (1960)",3.8,3.8,1
llama,deepseek,standard,Ale Ale - Capital Bra (2023),3.4,2.6,4
llama,openai,standard,"Turn, Turn, Turn - The Simon Sisters (1966)",3.8,4.0,1
llama,llama,standard,Funny How Time Slips Away - Wanda Jackson (1963),4.0,3.0,1
llama,llama,standard,Teach Me Tonight - Neil Diamond (1988),3.8,4.0,1
llama,llama,standard,Hold Me - Brenda Lee (1961),3.6,3.6,2
llama,openai,standard,Home - Birdy (2013),4.0,4.0,1
llama,llama,standard,Drinks & Clout - Fler feat. Bass Sultan Hengzt (2021),3.4,3.6,1
llama,openai,standard,All That Meat and Potatoes - Louis Armstrong (1955),3.6,3.8,1
llama,llama,standard,Home - Birdy (2013),3.2,2.4,4
llama,openai,standard,Light My Fire - Bananafishbones (2002),3.6,3.8,1
llama,llama,standard,You Are The Reason - Air Supply (2001),3.6,3.6,1
llama,openai,standard,Planetarium - Covenant (1997),3.6,3.6,1
llama,deepseek,standard,Welcome to the Big Room - Neil Young (2015),4.0,3.0,1
llama,llama,standard,Ein Festival der Liebe - Jürgen Marcus (1972),3.8,3.2,4
llama,openai,standard,Sing to Me Mr. C - Perry Como (1962),3.6,4.0,1
llama,llama,standard,All I Need - Heather Nova (2003),4.0,3.0,1
llama,llama,standard,Timeless - Drunken Tiger feat. BTS (2018),3.4,3.8,5
llama,openai,standard,"Ich will – ich kann, I can – I will - Udo Jürgens (1986)",3.6,3.8,1
llama,openai,standard,Hold Me - Brenda Lee (1961),3.8,4.6,1
llama,llama,standard,Everybody's Got Something To Hide Except Me And My Monkey - The Beatles (1968),3.6,3.6,3
llama,llama,standard,You Know I Miss You - Fats Domino (1952),4.0,3.4,3
llama,openai,standard,Mama Told Me Not To Come - Wilson Pickett (1971),3.6,4.2,1
llama,openai,standard,Scratch My Back - Slade (1976),3.8,3.8,1
llama,openai,standard,Heavens Rain - Uriah Heep (2008),3.6,3.6,1
llama,llama,standard,Sauerkrautpolka - Gus Backus (1961),4.0,3.0,5
llama,deepseek,standard,A Reason - Circ (2004),4.0,3.0,1
llama,deepseek,standard,One More Time - Robin Schulz & Felix Jaehn feat. Alida (2021),4.2,3.6,4
llama,openai,standard,Sternengold und Silbermond - Peter Alexander (1962),3.6,4.2,1
llama,deepseek,standard,"Stay (Far Away, So Close) - Gregorian (2012)",3.4,3.6,3
llama,deepseek,standard,That Old Black Magic - Sam The Sham & The Pharaohs (1965),3.4,3.4,1
llama,llama,standard,Easy (Switch Screens) - Son Lux feat. Lorde (2014),3.6,3.6,1
llama,llama,standard,"My Life - Nat ""King"" Cole (1960)",4.0,3.0,1
llama,openai,standard,Smoke Dreams - k.d. lang (1997),3.6,4.0,1
llama,llama,standard,Thank Me Now - Drake (2010),3.4,3.4,1
llama,deepseek,standard,Mama Told Me Not To Come - Wilson Pickett (1971),3.4,3.6,3
llama,openai,standard,The Flat Foot Floogee - Louis Armstrong (1954),3.6,3.8,1
llama,llama,standard,I Can't Stand The Rain - Seal (2008),4.0,3.8,1
llama,openai,standard,Blessed Assurance - Burl Ives (1950),3.4,3.8,1
llama,openai,standard,Assistant's Cry - Yello (1980),3.6,3.6,1
llama,openai,standard,Es geht mir gut - Westernhagen (1994),3.6,4.0,1
llama,openai,standard,Clues - Godley & Creme (1979),3.6,3.6,1
llama,llama,standard,The Time Of The Turning (Reprise) / The Weavers Reel - Peter Gabriel (2000),4.2,3.8,5
llama,llama,standard,"Ich will – ich kann, I can – I will - Udo Jürgens (1986)",4.0,3.2,3
llama,llama,standard,Before You Leave - Kurt Nilsen (2004),3.6,3.6,1
llama,llama,standard,All That Meat and Potatoes - Louis Armstrong (1955),3.6,3.2,5
llama,openai,standard,Easy (Switch Screens) - Son Lux feat. Lorde (2014),3.6,3.8,1
llama,deepseek,standard,I Cried for You - Ray Charles (1964),3.6,3.6,1
llama,llama,standard,The World Is Waiting For Sunrise - Les Paul & Mary Ford (1951),3.6,3.4,3
llama,llama,standard,"Turn, Turn, Turn - The Simon Sisters (1966)",4.2,3.4,5
llama,deepseek,standard,Battles - In Flames (2016),3.6,3.0,1
llama,deepseek,standard,Sie - Manfred Mann (1964),3.2,3.6,1
llama,openai,standard,The World Is Waiting For Sunrise - Les Paul & Mary Ford (1951),3.4,4.4,1
llama,deepseek,standard,On the Sunny Side of the Street / Exactly Like You - Louis Prima (1957),3.6,3.0,1
llama,llama,standard,Let's Get Together Soon - Dusty Springfield (1970),4.0,3.0,1
llama,openai,standard,A Reason - Circ (2004),3.6,4.0,1
llama,deepseek,standard,Du fehlst - Die Toten Hosen (2012),3.6,3.6,1
llama,openai,standard,Drunk On Love - Basia (1994),3.6,3.6,1
llama,deepseek,standard,Peggy's Kitchen Wall - Bruce Cockburn (1984),4.0,3.0,5
llama,llama,standard,Pay The Man - The Offspring (1998),2.8,2.8,1
llama,llama,standard,Ale Ale - Capital Bra (2023),4.0,3.8,5
llama,llama,standard,Smoke Dreams - k.d. lang (1997),4.0,3.4,4
llama,openai,standard,'Til My Back Ain't Got No Bone - Tom Jones (2015),4.0,4.0,1
llama,deepseek,standard,Circus Of Death - Project Pitchfork (1993),3.6,2.8,1
llama,llama,standard,Sea Song - Tears For Fears (1985),3.6,3.6,1
llama,openai,standard,Fellow Hoodlums - Deacon Blue (1991),3.6,3.6,1
llama,deepseek,standard,Hold Me - Brenda Lee (1961),4.0,3.0,1
llama,openai,standard,On the Sunny Side of the Street / Exactly Like You - Louis Prima (1957),3.6,3.8,1
llama,llama,standard,4:am Forever - Lostprophets (2006),3.2,3.2,1
llama,deepseek,standard,Spirits' Masquerade - Leaves' Eyes (2011),4.2,3.4,5
llama,openai,standard,Dance Only With Me - Perry Como (1958),3.6,3.6,1
llama,openai,standard,Number One - Laid Back (2019),3.4,3.6,1
llama,deepseek,standard,Leg die Knarre weg - Udo Jürgens (1958),3.6,3.6,1
llama,deepseek,standard,Streets of Fear - Hawkwind (1981),3.4,3.6,1
llama,deepseek,standard,Scratch My Back - Slade (1976),3.6,3.8,5
llama,llama,standard,Jekyll And Hyde - Judas Priest (2001),4.2,3.9,3
llama,deepseek,standard,Argue - Matchbox 20 (1996),4.2,3.8,5
llama,openai,standard,Best Night - Justice Crew (2012),3.6,3.8,1
llama,openai,standard,"Stay (Far Away, So Close) - Gregorian (2012)",3.6,3.6,1
llama,llama,standard,Got To Give It Up - Marvin Gaye (1977),3.6,3.6,1
llama,deepseek,standard,Smoke Dreams - k.d. lang (1997),4.0,3.0,1
llama,openai,standard,See Emily Play - Pink Floyd (1967),3.6,3.8,1
llama,llama,standard,I Had This Thing - Röyksopp feat. Jamie Irrepressible (2014),4.0,3.0,1
llama,deepseek,standard,Before You Leave - Kurt Nilsen (2004),3.6,3.4,1
llama,llama,standard,The Flat Foot Floogee - Louis Armstrong (1954),3.0,2.0,"Keine der Interpretationen ragt heraus, da sie alle sehr ähnlich sind"
llama,openai,standard,Sea Song - Tears For Fears (1985),3.6,4.2,1
llama,openai,standard,From Small Things (Big Things One Day Come) - Bruce Springsteen (2003),3.6,3.6,1
llama,llama,standard,Where Do We Go From Here - Charles & Eddie (1992),4.0,3.0,1
llama,deepseek,standard,Heart of Stone - The Platters (1956),3.0,2.0,1
llama,deepseek,standard,Ein Haus aus den Knochen von Cary Grant - Foyer Des Arts (1984),3.4,3.2,3
llama,openai,standard,Somewhere My Love - Roger Whittaker (1982),3.6,3.6,1
llama,openai,standard,Here I Go Again - Blue System (1995),3.6,4.2,1
llama,deepseek,standard,All That Meat and Potatoes - Louis Armstrong (1955),4.0,3.0,Alle Interpretationen sind gleich gut/beschreiben das gleiche
llama,openai,standard,Argue - Matchbox 20 (1996),3.6,4.0,1
llama,llama,standard,Sleepy Time Gal - Bing Crosby (1953),4.0,2.2,1
llama,llama,standard,Ship Of Fools - World Party (1987),4.0,3.4,5
llama,deepseek,standard,Sauerkrautpolka - Gus Backus (1961),3.6,2.8,5
llama,deepseek,standard,Coffee - Kelly Rowland (2020),3.8,3.4,3
llama,deepseek,standard,Wait - Martin Jensen feat. Loote (2017),3.6,3.6,1
llama,openai,standard,You Are The Reason - Air Supply (2001),3.6,4.0,1
llama,llama,standard,Uns geht's gut - And One (1997),4.0,4.0,5
llama,deepseek,standard,Breakout - Beverley Knight (2009),3.6,3.6,1
llama,deepseek,standard,Yesterday When I Was Young - Charles Aznavour (1969),3.6,3.4,1
llama,openai,standard,"Get In, Fit In - Ciara (2007)",3.6,3.6,1
llama,deepseek,standard,Here I Go Again - Blue System (1995),3.8,2.8,5
llama,llama,standard,Welcome to the Big Room - Neil Young (2015),3.0,2.0,1
llama,llama,standard,Heart of Stone - The Platters (1956),3.6,3.6,1
llama,openai,standard,The Time Of The Turning (Reprise) / The Weavers Reel - Peter Gabriel (2000),3.6,3.8,1
llama,deepseek,standard,Home - Birdy (2013),3.2,3.2,3
llama,llama,standard,Breaking My Heart - Richard Marx (2022),4.0,3.6,2
llama,openai,standard,Spirits' Masquerade - Leaves' Eyes (2011),3.6,4.2,1
llama,llama,standard,Skipping Like A Stone - The Chemical Brothers feat. Beck (2023),3.6,2.8,1
llama,deepseek,standard,The Flat Foot Floogee - Louis Armstrong (1954),3.8,3.6,4
llama,openai,standard,I Had This Thing - Röyksopp feat. Jamie Irrepressible (2014),3.6,3.6,1
llama,deepseek,standard,Everybody's Got Something To Hide Except Me And My Monkey - The Beatles (1968),3.6,3.4,1
llama,deepseek,standard,Heavens Rain - Uriah Heep (2008),3.6,3.6,1
llama,llama,standard,You Belong To Me - Rick Astley (2005),4.0,3.0,1
llama,deepseek,standard,Wahre Liebe - Westernhagen (2014),3.6,3.6,1
llama,openai,standard,Jekyll And Hyde - Judas Priest (2001),3.6,3.6,1
llama,openai,standard,I Cried for You - Ray Charles (1964),3.6,3.6,1
llama,deepseek,standard,Pay The Man - The Offspring (1998),3.4,3.2,5
llama,llama,standard,Somewhere My Love - Roger Whittaker (1982),4.0,3.6,3
llama,llama,standard,Sing to Me Mr. C - Perry Como (1962),4.0,4.0,1
llama,llama,standard,Scratch My Back - Slade (1976),3.6,3.6,1
llama,llama,standard,Streets of Fear - Hawkwind (1981),3.8,3.6,1
llama,openai,standard,You Know I Miss You - Fats Domino (1952),3.4,3.4,1
llama,openai,standard,Let's Get Together Soon - Dusty Springfield (1970),3.6,3.6,1
llama,deepseek,standard,"Get In, Fit In - Ciara (2007)",4.2,3.4,5
llama,llama,standard,Circus Of Death - Project Pitchfork (1993),4.0,3.0,1
llama,llama,standard,Yesterday When I Was Young - Charles Aznavour (1969),3.4,2.8,5
llama,deepseek,standard,Dance Only With Me - Perry Como (1958),3.2,3.2,1
llama,openai,standard,Circus Of Death - Project Pitchfork (1993),3.6,4.2,1
llama,openai,standard,4:am Forever - Lostprophets (2006),3.6,3.6,1
llama,deepseek,standard,Dance Dance Dance - Arabesque (1983),4.6,3.8,5
llama,deepseek,standard,Assistant's Cry - Yello (1980),3.4,3.4,1
llama,deepseek,standard,See Emily Play - Pink Floyd (1967),3.6,3.6,1
llama,deepseek,standard,Uns geht's gut - And One (1997),3.8,3.8,1
llama,llama,standard,'Til My Back Ain't Got No Bone - Tom Jones (2015),4.4,3.6,3
llama,llama,standard,"Get In, Fit In - Ciara (2007)",4.2,3.4,4
llama,llama,standard,Sternengold und Silbermond - Peter Alexander (1962),3.6,3.6,1
llama,openai,standard,Arschgesicht - Udo Lindenberg (1996),3.6,3.8,1
llama,llama,standard,From Small Things (Big Things One Day Come) - Bruce Springsteen (2003),3.6,2.8,1
llama,openai,standard,Sie - Manfred Mann (1964),3.2,3.6,3
llama,openai,standard,Ein Festival der Liebe - Jürgen Marcus (1972),3.2,4.0,1
llama,openai,standard,Du fehlst - Die Toten Hosen (2012),3.8,3.8,1
llama,openai,standard,Leg die Knarre weg - Udo Jürgens (1958),3.6,3.8,1
llama,llama,standard,Light My Fire - Bananafishbones (2002),3.6,3.6,1
llama,openai,standard,Got To Give It Up - Marvin Gaye (1977),3.6,3.6,1
llama,openai,standard,Into The Blue - Rooney (2010),3.4,3.4,1
llama,deepseek,standard,Ship Of Fools - World Party (1987),3.4,3.2,3
llama,deepseek,standard,Es geht mir gut - Westernhagen (1994),3.6,4.0,5
llama,deepseek,standard,All I Need - Heather Nova (2003),4.0,3.0,1
llama,deepseek,standard,Into The Blue - Rooney (2010),3.8,3.2,1
llama,openai,standard,Pay The Man - The Offspring (1998),3.6,3.6,1
llama,openai,standard,Wahre Liebe - Westernhagen (2014),3.6,3.6,1
llama,llama,standard,Breakout - Beverley Knight (2009),4.2,3.2,4
llama,llama,standard,On the Sunny Side of the Street / Exactly Like You - Louis Prima (1957),4.0,3.0,1
llama,deepseek,standard,I Had This Thing - Röyksopp feat. Jamie Irrepressible (2014),3.8,3.2,3
llama,deepseek,standard,Blessed Assurance - Burl Ives (1950),4.2,3.9,3
llama,deepseek,standard,Worth It All - Jay Sean (2013),4.0,3.8,1
llama,llama,standard,One Day Tomorrow - Edgar Winter (1975),3.6,3.4,1
llama,openai,standard,Before You Leave - Kurt Nilsen (2004),4.2,4.2,3
llama,openai,standard,Drinks & Clout - Fler feat. Bass Sultan Hengzt (2021),3.6,3.8,1
llama,openai,standard,Wait - Martin Jensen feat. Loote (2017),3.6,3.8,1
llama,llama,standard,"Stay (Far Away, So Close) - Gregorian (2012)",3.8,3.8,1
llama,llama,standard,Dance Only With Me - Perry Como (1958),4.0,3.6,3
llama,openai,standard,One More Time - Robin Schulz & Felix Jaehn feat. Alida (2021),3.6,3.6,1
llama,llama,standard,Wahre Liebe - Westernhagen (2014),4.0,3.6,1
llama,deepseek,standard,"Ich will – ich kann, I can – I will - Udo Jürgens (1986)",3.4,3.4,1
llama,llama,standard,See Emily Play - Pink Floyd (1967),3.6,3.6,1
llama,deepseek,standard,Funny How Time Slips Away - Wanda Jackson (1963),3.6,4.0,3
llama,llama,standard,Sie - Manfred Mann (1964),2.8,3.2,4
llama,openai,standard,Yesterday When I Was Young - Charles Aznavour (1969),4.0,4.0,4
llama,deepseek,standard,The Time Of The Turning (Reprise) / The Weavers Reel - Peter Gabriel (2000),4.0,3.0,1
deepseek,deepseek,standard,They Only Come Out At Night - Lordi (2006),3.2,3.4,5
deepseek,deepseek,standard,Best Night - Justice Crew (2012),4.0,3.0,3
deepseek,llama,standard,Without Love - Dina Carroll (1999),3.4,3.2,5
deepseek,deepseek,standard,Time Immemorial - Crowded House (1990),3.6,2.8,3
deepseek,openai,standard,I Had This Thing - Röyksopp feat. Jamie Irrepressible (2014),4.8,4.0,4
deepseek,deepseek,standard,On the Sunny Side of the Street / Exactly Like You - Louis Prima (1957),3.4,3.6,4
deepseek,deepseek,standard,Here I Go Again - Blue System (1995),3.2,3.2,4
deepseek,llama,standard,Light My Fire - Bananafishbones (2002),2.8,3.0,5
deepseek,deepseek,standard,The Flat Foot Floogee - Louis Armstrong (1954),4.2,3.6,2
deepseek,deepseek,standard,"Reise, Reise - Rammstein (2004)",3.4,3.4,4
deepseek,llama,standard,Scratch My Back - Slade (1976),2.8,3.0,1
deepseek,llama,standard,Ship Of Fools - World Party (1987),3.6,3.6,4
deepseek,openai,standard,"My Life - Nat ""King"" Cole (1960)",3.0,3.8,5
deepseek,deepseek,standard,When You Give It Away - Bruce Cockburn (1999),3.4,3.6,"[1, 3, 4]"
deepseek,llama,standard,See Emily Play - Pink Floyd (1967),2.8,3.2,2
deepseek,llama,standard,All That Meat and Potatoes - Louis Armstrong (1955),3.2,3.4,2
deepseek,openai,standard,Everybody's Got Something To Hide Except Me And My Monkey - The Beatles (1968),2.6,3.6,4
deepseek,openai,standard,Heavens Rain - Uriah Heep (2008),3.0,4.0,5
deepseek,openai,standard,It’s Alright - The Osmonds (1973),2.8,3.6,5
deepseek,openai,standard,Circus Of Death - Project Pitchfork (1993),2.8,4.0,3
deepseek,llama,standard,All I Need - Heather Nova (2003),4.0,4.0,5
deepseek,deepseek,standard,Light My Fire - Bananafishbones (2002),3.6,3.0,3
deepseek,deepseek,standard,4:am Forever - Lostprophets (2006),5.0,3.6,4
deepseek,openai,standard,"Reise, Reise - Rammstein (2004)",3.2,3.8,4
deepseek,deepseek,standard,It’s Alright - The Osmonds (1973),4.2,3.8,5
deepseek,deepseek,standard,You Know I Miss You - Fats Domino (1952),3.2,3.2,5
deepseek,llama,standard,Argue - Matchbox 20 (1996),3.0,3.6,2
deepseek,llama,standard,Skipping Like A Stone - The Chemical Brothers feat. Beck (2023),3.8,3.2,5
deepseek,deepseek,standard,Scratch My Back - Slade (1976),3.2,3.4,5
deepseek,openai,standard,Sternengold und Silbermond - Peter Alexander (1962),3.0,4.0,4
deepseek,llama,standard,Somewhere My Love - Roger Whittaker (1982),3.8,3.4,4
deepseek,llama,standard,Wahre Liebe - Westernhagen (2014),3.0,3.2,5
deepseek,openai,standard,The Flat Foot Floogee - Louis Armstrong (1954),2.4,3.2,3
deepseek,deepseek,standard,I Cried for You - Ray Charles (1964),3.6,3.8,1
deepseek,openai,standard,Number One - Laid Back (2019),2.8,3.8,4
deepseek,openai,standard,"Get In, Fit In - Ciara (2007)",4.0,4.0,4
deepseek,openai,standard,Drinks & Clout - Fler feat. Bass Sultan Hengzt (2021),3.2,3.6,2
deepseek,llama,standard,Peggy's Kitchen Wall - Bruce Cockburn (1984),4.8,4.2,5
deepseek,openai,standard,Skipping Like A Stone - The Chemical Brothers feat. Beck (2023),2.8,3.6,5
deepseek,llama,standard,Where Do We Go From Here - Charles & Eddie (1992),3.4,3.2,4
deepseek,openai,standard,When You Give It Away - Bruce Cockburn (1999),3.2,4.2,5
