Topic,Words,Frequency,Timestamp,Global_Representation
48,"los los, honky, honky tonk, tonk, harlem",40,1955-1959,"New York: Stadt, Kultur, Musik"
49,"indigo, been blue, ain been, bluer than, grievin",21,1955-1959,Blaues Symbol für Traurigkeit
50,"legion, schaukelstuhls, bah, running wild, old rockin",9,1955-1959,Ständige Flucht und innere Zerrissenheit
51,"jodeln, beep, goldmine, blu, unerreichbaren paradies",25,1955-1959,Weltraum‑Utopie Shangri‑La
55,"st louis, from st, came long, address, way from",5,1955-1959,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, weihnachtsbotschaft, alleluia, christi",11,1955-1959,Stille Nacht – Heilige Geburt
57,"yip, roly poly, roly, pedal, big foot",21,1955-1959,Zappa‑Ästhetik und satirische Provokation
58,"veilchen, korallen, willies, tahiti, barbara",15,1955-1959,Rote Rosen Symbolik in Liedern
59,"gefall, re dead, crummy, glad when, ll glad",9,1955-1959,Fassade vs innere Verzweiflung
60,"miss someone, still miss, längst vorbei, cold outside, cold heart",4,1955-1959,"Kälte außen, Herz erstarrt"
62,"schmetterlings, herzen verletzt, abhängigkeit wiederholungen, lippen tropft, gebrochen zerbrechlichkeit",2,1955-1959,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
64,"jingle, sleigh, weihnachtskarten, sleigh bells, jingle bells",10,1955-1959,Klassisches Weihnachtslied mit Schlitten
-1,"gig, frühen 1960er, surfen, surf, jahr 1962",2189,1960-1964,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"maybe last, how know, bald headed, stayed away, play cool",53,1960-1964,Zerrissener innerer Monolog und Selbstreflexion
1,"chubby, checker, chubby checker, tanzkultur, limbo",280,1960-1964,Rave‑Kultur: kollektiver Tanz
2,"äußere wetter, nutzt regens, rainin, lili, gonna rain",50,1960-1964,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, merry christmas, weihnachtsfest, claus, santa claus",100,1960-1964,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"greenback, woolworth, geld liebe, best things, life are",79,1960-1964,Bissige Satire über Geldliebe
6,"hot rod, surf, fortbewegungsmittel, fahrzeugs, coupe",72,1960-1964,"Fahrzeug, Fahrer und Mobilität"
7,"klassisches liebeslied, romantische ideologie, liebe allumfassende, klassisches bekenntnis, frühen 1960er",503,1960-1964,Allumfassendes Liebesmanifest
8,"choo, eisenbahn, trouble mind, choo choo, lokomotive",66,1960-1964,Zugmetaphern in moderner Musik
9,"everything happens, broken arrow, anybody but, gestrüpp, ginny",28,1960-1964,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, bekenntnis christlicher, vertrauen göttliche, christi, eschatologie",94,1960-1964,Christliche Glaubensbekenntnis und Anbetung
11,"ohrringe, fiebers, verzehrende, romeo julia, kiss fire",27,1960-1964,Feuer als Metapher für Liebe
12,"angel eyes, little angel, anrede angel, reinheit schutz, sehnsucht transzendenter",25,1960-1964,Engel‑Ikonografie: Reinheit und Fall
13,"jim crow, longest day, done gone, roddy, many men",59,1960-1964,Umweltzerstörung: Protest der Bevölkerung
14,"blue moon, other words, mondlichts, fly moon, jupiter mars",100,1960-1964,Sommerliebe im Mondlicht
15,"ally, bürgerrechtsbewegung, marsch, up band, strike up",37,1960-1964,Kollektiver Aufruf zur Gerechtigkeit
16,"seemanns, schiffes, sailor, cindy, seemannslied",97,1960-1964,"Maritime Reisen, Mythen und Hafen"
17,"shanty, steal away, somewhere along, 500 miles, lonely town",65,1960-1964,Heimweh und Rückkehr
18,"unerwiderter liebe, innenleben sehnsucht, zerrissene innenleben, someone new, eindringlicher sprache",1013,1960-1964,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"make if, dream dream, optimistisches manifest, aren glad, badder",50,1960-1964,Aufruf zur Selbstbestimmung und Resilienz
20,"demut vermittelt, wandel früheren, oberflächlichen prahlereien, selbstbewusster rap, everybody ready",1,1960-1964,"Deutschrap: Gewalt, Identität, Szene"
21,"hirten, bethlehem, noel, christi, geburt jesu",67,1960-1964,Weihnachtsgeschichte: Geburt Jesu
22,"mimi, wind up, take these, teufelchen, chains from",98,1960-1964,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kansas city, kansas, kentucky, louisiana, basin",63,1960-1964,Amerikanische Reise‑ und Freiheitslyrik
24,"ever know, ll even, no difference, believe never, makes no",76,1960-1964,Selbstbefreiung aus toxischer Beziehung
25,"blackbird, skylark, over rainbow, mockingbird, blauen vögel",86,1960-1964,"Flug über Regenbogen, Begrenzungen"
26,"tenderly, right kind, beginning see, sterne augen, see light",163,1960-1964,Allumfassende kosmische Liebesbegegnung
27,"mütterlicher fürsorge, wort mutter, kraft mütterlicher, before grow, big boots",17,1960-1964,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"drinkin, thinking when, billy billy, fidel, ei",22,1960-1964,"Alkohol, Bar, Herzschmerz, Flucht"
29,"win again, got bad, fools rush, kind fool, leeren schale",97,1960-1964,Selbstbezeichnung als Narr in Beziehungen
30,"baby won, baby eindringliches, leitung, call name, please please",98,1960-1964,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, beispiel jugendliche, verliebtheit frühen, frühen 1960er, jugendlicher liebe",601,1960-1964,Jugendliche Pop‑Liebeserklärung
32,"mañana, circulate, karneval, wunderkind, young ones",31,1960-1964,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"snowfall, silhouetten, winterliche wetter, love keep, keep warm",24,1960-1964,Wintersturm und heimische Geborgenheit
34,"sandmann, nächtliches wiegenlied, sandman, rhythmische schaukeln, kind dunkelheit",11,1960-1964,Sandmann – nächtliches Schlaflied
35,"rattle roll, shake rattle, rattle, frühen 1960er, carroll",66,1960-1964,Digitale Entfremdung und Bürokratie
36,"silber gold, metalle, haars, ives, festlicher",4,1960-1964,Goldene Alchemie der Liebe
38,"kingpin, jackpot, lady luck, way ahead, heads win",17,1960-1964,"Kartenspiele, Würfel und Roulette"
39,"indigenen, mule, john henry, völker, custer",85,1960-1964,"Amerikas Patriotismus, Indigene und Schuld"
40,"ll around, stand by, happen again, mine hold, he gone",72,1960-1964,Bedingungslose Unterstützung und Verlässlichkeit
41,"singing blues, blues genre, blues musikalisches, sing blues, st louis",55,1960-1964,Blues-Textanalyse: Verlust und Sehnsucht
42,"prärie, amerikanischen westens, dixie, laredo, ranch",66,1960-1964,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, wein rosen, herbstes, laubs, autumn leaves",96,1960-1964,Herbstliche Symbolik von Verlust
45,"water boy, tautropfen, riverside, stay way, from door",30,1960-1964,Fluss‑Metaphern in Liedtexten
46,"biene, sal, frühen 1960er, arkansas, blick harmloses",159,1960-1964,Erotische Süßmetaphern in Pop
48,"los los, chinatown, wien, nashville, harlem",74,1960-1964,"New York: Stadt, Kultur, Musik"
49,"indigo, blue blue, mr blue, leeren arme, wort blue",50,1960-1964,Blaues Symbol für Traurigkeit
50,"dang, no vacancy, vacancy, mixed up, bad news",23,1960-1964,Ständige Flucht und innere Zerrissenheit
51,"jess, caravan, einsiedler, karawane, trinidad",26,1960-1964,Weltraum‑Utopie Shangri‑La
52,"browns, mashed, potatoes, mashed potatoes, james browns",8,1960-1964,Funk‑Call‑Response bei James Brown
53,"fudge, school verankert, süßen substanz, silben do, dee lockern",1,1960-1964,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
55,"st louis, came long, dab, smack, from st",11,1960-1964,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, christi, geburt christi, weihnachtsbotschaft",20,1960-1964,Stille Nacht – Heilige Geburt
57,"sneakers, ivy league, heel, ivy, league",39,1960-1964,Zappa‑Ästhetik und satirische Provokation
58,"ramblin, rose steht, ramble, wildwood, rote rosen",48,1960-1964,Rote Rosen Symbolik in Liedern
59,"heiterkeit, masquerade, bitty, äußerer heiterkeit, great pretender",32,1960-1964,Fassade vs innere Verzweiflung
60,"cold heart, cold cold, out cold, cold outside, herz schmelzen",22,1960-1964,"Kälte außen, Herz erstarrt"
62,"fly by, schmetterling, by night, schmetterlings, nutzt melodie",3,1960-1964,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
64,"jingle, sleigh, weihnachtskarten, used know, jingle bells",33,1960-1964,Klassisches Weihnachtslied mit Schlitten
-1,"gig, jahr 1967, jahr 1965, jahr 1966, now love",4134,1965-1969,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog erinnerung, monolog resignation, monolog zerrissenheit, monolog verzweiflung, monolog verlangen",426,1965-1969,Zerrissener innerer Monolog und Selbstreflexion
1,"boogaloo, jerk, tanzkultur, mitte 60er, körperliche bewegung",254,1965-1969,Rave‑Kultur: kollektiver Tanz
2,"äußere wetter, wetterphänomen, nutzt regens, raining, raindrops",149,1965-1969,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, weihnachtsfest, merry christmas, weihnachtsmann, claus",104,1965-1969,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"liebe geld, wohlstands, uptight, satirischer kommentar, money won",199,1965-1969,Bissige Satire über Geldliebe
5,"prince buster, capone, buster, al capone, tramp",4,1965-1969,"Straßenrap: Luxus, Drogen, Gewalt"
6,"mustang, beep, chauffeur, ride ride, jaguar",95,1965-1969,"Fahrzeug, Fahrer und Mobilität"
7,"romantische ideologie, liebe allumfassende, klassisches liebeslied, liebesmanifest, simple tief",641,1965-1969,Allumfassendes Liebesmanifest
8,"zugfahrt, eisenbahn, rattler, lokomotive, choo",110,1965-1969,Zugmetaphern in moderner Musik
9,"condition, just dropped, perhaps, baloney, deputy",118,1965-1969,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christi, christlicher, cashs, kapelle, beziehung gott",95,1965-1969,Christliche Glaubensbekenntnis und Anbetung
11,"light fire, ring fire, heat wave, mire, funeral pyre",49,1965-1969,Feuer als Metapher für Liebe
12,"yi, yi yi, little angel, star crossed, homeward",18,1965-1969,Engel‑Ikonografie: Reinheit und Fall
13,"eindringlicher protest, bevölkerung, truppen, regime, moralische verwirrung",152,1965-1969,Umweltzerstörung: Protest der Bevölkerung
14,"sommerliebe, other words, fly moon, mondlichts, moon entfaltet",89,1965-1969,Sommerliebe im Mondlicht
15,"bürgerrechtsbewegungen, manifest späten, manifestes, bürgerrechtsbewegung, get together",144,1965-1969,Kollektiver Aufruf zur Gerechtigkeit
16,"schiffes, seemanns, segelns, avalon, seeleute",179,1965-1969,"Maritime Reisen, Mythen und Hafen"
17,"unterwegssein, wahre zuhause, heimweh, homesick, ort emotionaler",168,1965-1969,Heimweh und Rückkehr
18,"innenleben sehnsucht, unerwiderter liebe, love zerrissenes, einst intensiven, liebesbild",1802,1965-1969,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"meditativer aufruf, vance, späten 60ern, have heard, 60ern",162,1965-1969,Aufruf zur Selbstbestimmung und Resilienz
20,"hov, shepherds, enthält musikalisch, stop widerstands, weigert erwartungen",2,1965-1969,"Deutschrap: Gewalt, Identität, Szene"
21,"bethlehem, hirten, christi, geburt jesu, geburt christi",29,1965-1969,Weihnachtsgeschichte: Geburt Jesu
22,"hunter, verführerischen gefährlichen, hazel, maggie, got hold",244,1965-1969,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kansas city, kansas, kaliforniens, kentucky, louisiana",77,1965-1969,Amerikanische Reise‑ und Freiheitslyrik
24,"reason believe, befreiung toxischen, makes hard, hard live, believe inneres",216,1965-1969,Selbstbefreiung aus toxischer Beziehung
25,"blackbird, place sun, bluebird, born free, ast",206,1965-1969,"Flug über Regenbogen, Begrenzungen"
26,"begegnung geliebten, one true, bouquet, liebe alltägliche, wärme klarheit",282,1965-1969,Allumfassende kosmische Liebesbegegnung
27,"mütterlicher liebe, big boy, vater kind, mütterliche liebe, kraft mütterlicher",87,1965-1969,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"milwaukee, red wine, barkeeper, nancy, schmerz alkohol",65,1965-1969,"Alkohol, Bar, Herzschmerz, Flucht"
29,"win again, fool bezeichnet, surprise surprise, must believe, wort fool",117,1965-1969,Selbstbezeichnung als Narr in Beziehungen
30,"back baby, baby need, call name, leitung, western union",173,1965-1969,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, tex, jugendlicher leidenschaft, jahr 1965, bekenntnis jugendlicher",884,1965-1969,Jugendliche Pop‑Liebeserklärung
32,"rückblick unbeschwerte, daydream, erwachsenen welt, erwachsenseins, goin back",125,1965-1969,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"nutzt winterliche, winterliche wetter, frightful, schneegestöber, kälte winters",53,1965-1969,Wintersturm und heimische Geborgenheit
34,"dream sweet, zärtliches wiegenlied, sweet dreams, sandmann, sandman",25,1965-1969,Sandmann – nächtliches Schlaflied
35,"computer, big boss, no satisfaction, bürokratie, get no",284,1965-1969,Digitale Entfremdung und Bürokratie
36,"unerschöpflichen quell, erbe erinnerungen, totale besitzergreifung, leuchten individuum, lassen lachen",5,1965-1969,Goldene Alchemie der Liebe
37,"snoopy, gegenbild etablierten, authentizität unbeschwertheit, candidates, unschuld kreativität",1,1965-1969,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"under thumb, spielers, puppet, kartenspiels, thumb",36,1965-1969,"Kartenspiele, Würfel und Roulette"
39,"hardy, weevil, fred, amerikanischen traums, chain gang",74,1965-1969,"Amerikas Patriotismus, Indigene und Schuld"
40,"stand beside, stand by, bedingungsloser unterstützung, bekenntnis bedingungsloser, what happens",154,1965-1969,Bedingungslose Unterstützung und Verlässlichkeit
41,"born lose, blues musikalisches, blues genre, musikalisches genre, wort blues",58,1965-1969,Blues-Textanalyse: Verlust und Sehnsucht
42,"prärie, rodeo, wilden westens, amerikanischen westens, reiter",72,1965-1969,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, herbstes, if go, catch wind, welpen",195,1965-1969,Herbstliche Symbolik von Verlust
45,"fluss steht, by river, wasserfalls, time coming, fluss fluss",64,1965-1969,Fluss‑Metaphern in Liedtexten
46,"pussycat, yummy, biene, taste honey, sadie",243,1965-1969,Erotische Süßmetaphern in Pop
48,"los los, honky, tulsa, york city, chinatown",150,1965-1969,"New York: Stadt, Kultur, Musik"
49,"shade blue, indigo, blue blue, blue inneres, sad lonely",73,1965-1969,Blaues Symbol für Traurigkeit
50,"jeannie, leary, down slow, peculiar, immigrant",154,1965-1969,Ständige Flucht und innere Zerrissenheit
51,"shangri, shangri la, ballons, up away, up up",84,1965-1969,Weltraum‑Utopie Shangri‑La
52,"browns, james browns, licking, maceo, mashed",37,1965-1969,Funk‑Call‑Response bei James Brown
55,"st louis, from st, johns, wall street, village",14,1965-1969,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, weihnachtsbotschaft, calm bright, mother child",11,1965-1969,Stille Nacht – Heilige Geburt
57,"zappa, zappas, frank zappa, oop, monkees",138,1965-1969,Zappa‑Ästhetik und satirische Provokation
58,"ramblin, angelica, rose steht, red roses, rote rosen",61,1965-1969,Rote Rosen Symbolik in Liedern
59,"fifi, genauer, life party, ay ay, flöhen",74,1965-1969,Fassade vs innere Verzweiflung
60,"cold cold, cold turkey, cold heart, turkey, cold outside",33,1965-1969,"Kälte außen, Herz erstarrt"
62,"schmetterling, schmetterlings, mitch, naturkulisse verankert, sammler",11,1965-1969,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
64,"jingle, jingle bells, sleigh, weihnachtskarten, used know",16,1965-1969,Klassisches Weihnachtslied mit Schlitten
-1,"gig, wombles, jahr 1972, jahr 1971, 60er frühen",4254,1970-1974,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog zerrissenheit, monolog verzweiflung, monolog erinnerung, monolog selbstbehauptung, monolog sprecherin",679,1970-1974,Zerrissener innerer Monolog und Selbstreflexion
1,"bump, tanzkultur, jive, woogie, kollektiven rausch",297,1970-1974,Rave‑Kultur: kollektiver Tanz
2,"rainmaker, äußere wetter, wetterphänomen, nutzt regens, regenmotiv",154,1970-1974,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, merry christmas, weihnachtsfest, claus, santa claus",89,1970-1974,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"künstlerischem anspruch, gesellschaft erfolg, shaft, reed, werbeversprechen",164,1970-1974,Bissige Satire über Geldliebe
5,"tramp, hustler, daytime, hand car, glam",14,1970-1974,"Straßenrap: Luxus, Drogen, Gewalt"
6,"motorrad, fahrers, driver, harley, unterwegssein",163,1970-1974,"Fahrzeug, Fahrer und Mobilität"
7,"liebesmanifest, liebe allumfassende, wodurch liebe, romantische ideologie, love entfaltet",643,1970-1974,Allumfassendes Liebesmanifest
8,"eisenbahn, railroad, zugfahrt, lokomotive, choo",122,1970-1974,Zugmetaphern in moderner Musik
9,"selbstzerstörung verzweifelten, israel, mary anne, did what, verzweifelten suchen",212,1970-1974,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, bekenntnis christlicher, vertrauen göttliche, beziehung gott, theologische",184,1970-1974,Christliche Glaubensbekenntnis und Anbetung
11,"light fire, fiebers, bösen augen, mr magic, lights up",52,1970-1974,Feuer als Metapher für Liebe
12,"angel morning, angel eyes, bind, reinheit schutz, lili",29,1970-1974,Engel‑Ikonografie: Reinheit und Fall
13,"eindringlicher protest, bevölkerung, umweltzerstörung, vietnam, jerusalem",334,1970-1974,Umweltzerstörung: Protest der Bevölkerung
14,"arcadia, side moon, blue moon, sommerliebe, roma",67,1970-1974,Sommerliebe im Mondlicht
15,"jah, tosh, kollektive gewissen, brüderlichkeit, leidenschaftlicher aufruf",343,1970-1974,Kollektiver Aufruf zur Gerechtigkeit
16,"seemanns, schiffes, sail away, hafens, maritimen",234,1970-1974,"Maritime Reisen, Mythen und Hafen"
17,"winding road, long winding, winding, times ve, heimweh",207,1970-1974,Heimweh und Rückkehr
18,"innenleben sehnsucht, unerwiderter liebe, porträt verlust, zerrissene innenleben, wort goodbye",1381,1970-1974,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"meditativer appell, ermutigt leben, everyman, life what, aufruf bewussten",282,1970-1974,Aufruf zur Selbstbestimmung und Resilienz
20,"tatorts, tatort, tägliche realität, straße distanz, spektakuläre inszenierung",1,1970-1974,"Deutschrap: Gewalt, Identität, Szene"
21,"hirten, bethlehem, christi, geburt christi, inkarnation",28,1970-1974,Weihnachtsgeschichte: Geburt Jesu
22,"ida, yo yo, spinne, verführerischen zerstörerischen, mumbo",208,1970-1974,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kaliforniens, louisiana, baton, kentucky, alabama",85,1970-1974,Amerikanische Reise‑ und Freiheitslyrik
24,"wah wah, reason believe, hard live, believe inneres, move over",156,1970-1974,Selbstbefreiung aus toxischer Beziehung
25,"bluebird, nachtigall, blackbird, libelle, mensch natur",276,1970-1974,"Flug über Regenbogen, Begrenzungen"
26,"are sunshine, kraft geliebten, begegnung geliebten, speak softly, sunshine life",318,1970-1974,Allumfassende kosmische Liebesbegegnung
27,"knef, alleinerziehenden, drang individueller, abwesenheit vaters, motherless",112,1970-1974,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"milwaukee, drinkin, alcohol, versuch alkohol, black coffee",80,1970-1974,"Alkohol, Bar, Herzschmerz, Flucht"
29,"poor fool, hurts too, crazy heart, paradoxes beziehungsgeflecht, make fool",85,1970-1974,Selbstbezeichnung als Narr in Beziehungen
30,"anrufer, soon come, operator, jahr 1970, sylvia",99,1970-1974,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, 60er frühen, offenbaren tieferes, liebesgruß, bekenntnis jugendlicher",554,1970-1974,Jugendliche Pop‑Liebeserklärung
32,"baby brother, nachdenklicher rückblick, best years, erwachsenseins, rückblick unbeschwerte",157,1970-1974,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"mandy, frightful, nutzt winterliche, eisblumen, rebecca",29,1970-1974,Wintersturm und heimische Geborgenheit
34,"sandmann, ragtime, zärtliches wiegenlied, wiegenlieds, löffel",21,1970-1974,Sandmann – nächtliches Schlaflied
35,"bevölkerung, computer, big brother, bürokratie, kommentar entfremdung",395,1970-1974,Digitale Entfremdung und Bürokratie
36,"diamonds are, are forever, königswürde, unermüdlicher suche, wärme liebevollen",5,1970-1974,Goldene Alchemie der Liebe
38,"schachspiel, würfel, kartenspiels, roulette, glücksspiels",35,1970-1974,"Kartenspiele, Würfel und Roulette"
39,"indigenen, sheriff, cherokee, amerikanischen traums, völker",140,1970-1974,"Amerikas Patriotismus, Indigene und Schuld"
40,"got friend, klassisches bekenntnis, let one, bekenntnis bedingungslose, aufforderung namen",215,1970-1974,Bedingungslose Unterstützung und Verlässlichkeit
41,"blues musikalisches, lovesick blues, sung, musikalisches genre, lovesick",52,1970-1974,Blues-Textanalyse: Verlust und Sehnsucht
42,"rodeo, prärie, dixie, wilden westens, reiter",105,1970-1974,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, herbstes, indian summer, sommerwind, frühling sommer",146,1970-1974,Herbstliche Symbolik von Verlust
45,"sweet memories, by river, levee, fluss steht, meer fließt",96,1970-1974,Fluss‑Metaphern in Liedtexten
46,"biene, ebony, glam, quatro, suzi quatro",221,1970-1974,Erotische Süßmetaphern in Pop
48,"los los, harlem, honky, tonk, honky tonk",193,1970-1974,"New York: Stadt, Kultur, Musik"
49,"mammy, no sunshine, indigo, ko, he gone",61,1970-1974,Blaues Symbol für Traurigkeit
50,"timothy, 60er frühen, hee, keep running, mongrel",203,1970-1974,Ständige Flucht und innere Zerrissenheit
51,"ballons, ballon, marianne, spaceman, raumfahrt",70,1970-1974,Weltraum‑Utopie Shangri‑La
52,"browns, james browns, make funky, hot pants, brown jahr",63,1970-1974,Funk‑Call‑Response bei James Brown
53,"dream team, jacksons, basketball, energie humor, herausforderten",1,1970-1974,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
55,"sweet jane, hollywoods, rodeo, patch, zelluloid",29,1970-1974,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, still still, heerscharen, weihnachtsbotschaft",6,1970-1974,Stille Nacht – Heilige Geburt
57,"zappa, zappas, rocks off, glam rock, glam",107,1970-1974,Zappa‑Ästhetik und satirische Provokation
