Topic,Label,MK_Trend,MK_p_value,Theil_Sen_Slope,Mean_Rel_Freq,BH_p_value,MK_Trend_Original
19,Selbstermächtigung und Resilienz,increasing,7.32183972087519e-05,0.002025138796384027,0.02279333515086452,0.0006903448879682321,increasing
21,Christlicher Glaube,no trend,0.2996654484343022,-0.00017466423024225814,0.0031985629992182614,0.3531771356547133,no trend
22,Toxische Liebesabhängigkeit,no trend,0.04408378374132105,0.0008394008563740972,0.02235040074550957,0.06766348202156254,increasing
23,Sehnsucht nach Amerika,decreasing,0.0005061006025992576,-0.00044766732749210517,0.003323900255494897,0.0014522886857196088,decreasing
24,Befreiung aus toxischer Beziehung,increasing,0.0012229573327571241,0.0009052091551529544,0.015189980987441806,0.0028826851414989357,increasing
25,Fliegen als Freiheitsmotiv ,no trend,0.05858757531048897,-0.00016339322211293383,0.012053841202290751,0.08592844378871715,no trend
26,Liebe als Transzendentes,decreasing,0.0041383639950869355,-0.0005717845809909923,0.01950494024783973,0.008276727990173871,decreasing
27,Eltern‑Kind Bindung,no trend,0.2996654484343022,0.00010194393007254032,0.004458472262076087,0.3531771356547133,no trend
28,Alkohol und Einsamkeit,no trend,0.04408378374132105,-9.195730327770316e-05,0.0034094823466017223,0.06766348202156254,decreasing
29,Naivität in der Liebe,decreasing,0.00019800980994699735,-0.0005716942207863987,0.00614952925199321,0.0007687439680295191,decreasing
30,Das Telefon als Sehnsuchtsmotiv,decreasing,0.00031879975807957983,-0.0006104089311791995,0.007620430227876368,0.0010520392016626135,decreasing
31,Jugendliche Liebesballade,decreasing,4.358673270377089e-05,-0.004016728441613242,0.038728659453080135,0.0004794540597414798,decreasing
32,Nostalgie der Jugend,no trend,0.12720368763109935,0.0002573222366861188,0.007801548527903185,0.1749050704927616,no trend
33,Winter als Liebesmetapher,no trend,0.6693340144640527,-3.155377768233287e-05,0.0025463228587584803,0.7012070627718647,no trend
34,Schlaflieder,no trend,0.05858757531048897,-7.93913975258051e-05,0.00129248991283842,0.08592844378871715,no trend
35,Technokratische Dystopie und Systemkritik,no trend,0.12720368763109935,0.0001870194816105744,0.027259139963971852,0.1749050704927616,no trend
36,Edelsteine als Motiv für Beständigkeit,increasing,0.0007922485913105515,0.00012054404219427844,0.0010527194769423649,0.0020110925779421693,increasing
37,Westküsten‑Gangsta‑Identität,increasing,0.0005061006025992576,0.00031194309889601526,0.001736585334140385,0.0014522886857196088,increasing
38,Glücksspiel als Metapher für das Leben,no trend,0.03273560958832067,-9.97066145240957e-05,0.002756026780829725,0.054013755820729106,decreasing
39,Amerikanische Identität und Kolonialismus,decreasing,0.0007922485913105515,-0.0006380938559224169,0.006565247176660084,0.0020110925779421693,decreasing
40,Bedingungslose Unterstützung in Beziehungen,no trend,0.5829505577618919,0.00024897909898705215,0.013246962975460328,0.6205602711658849,no trend
41,Blues als Ausdruck von Schmerz,decreasing,0.0007922485913105515,-0.00037478255249651365,0.002813711224970553,0.0020110925779421693,decreasing
42,Amerikanischer Western‑Mythos,decreasing,2.55808200499974e-05,-0.0005729320592057664,0.004234624085114454,0.0004220835308249571,decreasing
43,Jahreszeiten als Motiv des Wandels,decreasing,0.00019800980994699735,-0.0006365178152955426,0.007288856136620592,0.0007687439680295191,decreasing
45,Wasser als Motiv,no trend,0.5829505577618919,9.666825602240097e-05,0.005409487074141317,0.6205602711658849,no trend
46,Begierde und körperliche Verführung,decreasing,0.0027949345698872197,-0.0006022209224497424,0.016722132996566295,0.0061488560537518834,decreasing
48,Urbanes Stadtporträt,decreasing,0.00031879975807957983,-0.0006033632172970775,0.008024340402779294,0.0010520392016626135,decreasing
49,Blau als Symbol der Melancholie,decreasing,0.0012229573327571241,-0.00030436835916245955,0.0036986816982988685,0.0028826851414989357,decreasing
50,Flucht als Motiv der Bewältigung,no trend,0.12720368763109935,0.0005245088215606649,0.013171622580013507,0.1749050704927616,no trend
51,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte,no trend,0.36012164775537814,-9.725621471008182e-05,0.005134758770430431,0.40979359916991304,no trend
55,"Glamour, Ruhm, Illusion",no trend,0.5021582515007486,-2.554008259211219e-05,0.001503702431787733,0.5523740766508234,no trend
56,Weihnachten und Gott,no trend,0.854777098065548,-3.91719644968105e-05,0.0012211503382365794,0.854777098065548,no trend
57,Satirische Gesellschaftskritik,increasing,0.00012126237486764779,0.0012886844480202357,0.014828694358454035,0.0007687439680295191,increasing
58,Natur als Liebesmetapher,decreasing,0.0041383639950869355,-0.00017735601218495694,0.0031217671682489266,0.008276727990173871,decreasing
59,Symbol der Verstellung und Schutzmechanismen,increasing,0.0060437194011075945,0.00038068263991456114,0.0064939137198821596,0.011080152235363924,increasing
60,Die Metaphorik der Kälte als emotionale Distanz,no trend,0.36012164775537814,0.0001284115116337361,0.003434843829561079,0.40979359916991304,no trend
62,Schmetterlingsmetaphorik über Wandel und neue Freiheit,no trend,0.2996654484343022,1.4213270715000067e-05,0.0007044383960752245,0.3531771356547133,no trend
64,Weihnachten und Winter,no trend,0.24638736002924677,1.4484118605612835e-05,0.001584832705163293,0.30682199550811856,no trend
20,Aggressive Selbstinszenierung,increasing,2.55808200499974e-05,0.001785122629890978,0.007882756268543904,0.0004220835308249571,increasing
52,"Funk, Soul und Tanzkultur",decreasing,0.00031879975807957983,-0.00014576747861654572,0.0010272294243081621,0.0010520392016626135,decreasing
53,Hip‑Hop Machtdemonstration,increasing,0.008706155452434139,0.0007713701160369656,0.005787166600872193,0.01512121736475403,increasing
63,Straßenleben und Gewalt,increasing,0.0005061006025992576,0.00033778078027360244,0.0021370832901531516,0.0014522886857196088,increasing
54,Selbstinszenierung im Rap und Szenekritik,increasing,0.00019800980994699735,8.225939128050452e-05,0.0004996657876321435,0.0007687439680295191,increasing
47,Unantastbare Rap‑Identität,increasing,0.00012126237486764779,0.00011424915455625629,0.0005431964363488366,0.0007687439680295191,increasing
61,Deutschrap Battle‑Provokation,increasing,8.442315356127494e-06,4.083466045979828e-05,0.001498751815760136,0.0002785964067522073,increasing
65,Selbstinszenierung im Rap,increasing,0.0027949345698872197,5.250170630545493e-05,0.0004744079187152956,0.0061488560537518834,increasing
44,"Inszenierung von Macht, Luxus und Gewalt",increasing,0.005374060704526951,0.0,0.0006005686421150238,0.010432000191140552,increasing
